,Plant_Id,Scientific_Name,Family,Family_Hindi_Name),Species_Name,Common_Name,Habit,Habitat,Comments,Flower_Fruit,Distribution,Key_Feature
498,5499,Garnotia longipila,POACEAE(Grass Family),GHAS FAMILY (घास फैमिली),Garnotia courtallensis (Arn. & Nees) Thwaites,,Herb,,,,Kerala,
499,5501,Garnotia polypogonoides,POACEAE(Grass Family),GHAS FAMILY (घास फैमिली),Garnotia emodi (Arn. & Nees) Janowski,,Herb,Himalayas; 900 - 2100 m. altitude,,September-October,Uttarakhand,
500,5502,Garnotia puchiparensis,POACEAE(Grass Family),GHAS FAMILY (घास फैमिली),Garnotia puchiparensis Bor,,Herb,Grasslands,,September-December,Kerala,
501,5503,Garnotia schmidii,POACEAE(Grass Family),GHAS FAMILY (घास फैमिली),Garnotia schmidii Hook.f.,,Herb,Grasslands,,February,Kerala,
502,5504,Garnotia scoparia,POACEAE(Grass Family),GHAS FAMILY (घास फैमिली),Garnotia scoparia Thwaites,,Herb,,,,Karnataka,
503,5505,Garnotia stricta,POACEAE(Grass Family),GHAS FAMILY (घास फैमिली),Garnotia stricta Brongn.,,Herb,,,,Karnataka,
504,5506,Garnotia tenella,POACEAE(Grass Family),GHAS FAMILY (घास फैमिली),Garnotia tenella (Arn. ex Miq.) Janowski,,Herb,"Wet rocky areas in grasslands, open places in forests",Occasional on hills above 900m in discrete clumps.,May-December,"Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu, Chattisgarh",
505,5507,Garuga floribunda,BURSERACEAE(Bursera Family),SALAI FAMILY,Garuga floribunda var. gamblei (King ex W.W.Sm.) Kalkman,,Tree,,On hills above 750m.,February-June,"Andhra Pradesh, Kerala, Tamil Nadu","Large tree with long, slender panicles"
506,5508,Garuga pinnata,BURSERACEAE(Bursera Family),SALAI FAMILY,Garuga pinnata Roxb.,"Grey Downy Balsam Tree, Garuga",Tree,"Tropical dry deciduous forests, Tropical moist deciduous forests",On hills up to 800m in moist deciduous belt in full sun.,January-August,"Andhra Pradesh, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu, Madhya Pradesh, Uttarakhand, West Bengal, Assam, Bihar, Andaman and Nicobar Islands","Large tree with short, croweded panicles"
507,5509,Gastrochilus acaulis,ORCHIDACEAE(Orchid Family),ORCHID FAMILY (ऑर्चिड फैमिली),Gastrochilus acaulis (Lindl.) Kuntze,,Herb,"Semi-evergreen, evergreen, moist deciduous and dry deciduous forests and also in the sholas",Epiphytic on trees at elevations at 1300m under shade,March-November,"Kerala, Tamil Nadu",
508,5510,Gastrochilus acutifolius,ORCHIDACEAE(Orchid Family),ORCHID FAMILY (ऑर्चिड फैमिली),Gastrochilus acutifolius (Lindl.) Kuntze,Pointed-Leaf Gastrochilus,Epiphytic herb,"Open primary, mossy, semi-deciduous, broad-leafed, mixed and coniferous forest; 2000 - 2500 m. altitude",,October-November,Uttarakhand,
509,5511,Gastrochilus calceolaris,ORCHIDACEAE(Orchid Family),ORCHID FAMILY (ऑर्चिड फैमिली),Gastrochilus calceolaris (Buch.-Ham. ex Sm.) D.Don,,Herb,,Not common.,April-June,"Karnataka, Kerala, Maharashtra, Tamil Nadu",
510,5512,Gastrochilus distichus,ORCHIDACEAE(Orchid Family),ORCHID FAMILY (ऑर्चिड फैमिली),Gastrochilus distichus (Lindl.) Kuntze,"Two-Ranked Belly-Lip Orchid, Distichous Gastrochilus",Epiphytic herb,Shade on moss covered trees in dense rain forest; 600 - 2700 m. altitude,,March-April,Uttarakhand,
511,5513,Gastrochilus flabelliformis,ORCHIDACEAE(Orchid Family),ORCHID FAMILY (ऑर्चिड फैमिली),Gastrochilus flabelliformis (Blatt. & McCann) C.J.Saldanha,,Herb,Tropical evergreen forests,Not common.,October-November,"Karnataka, Kerala",
512,5514,Gastrochilus inconspicuum,ORCHIDACEAE(Orchid Family),ORCHID FAMILY (ऑर्चिड फैमिली),Luisia inconspicua (Hook.f.) King & Pantl.,,Herb,Partial open situations,Epiphytic,June-March,"Odisha, Uttarakhand, Sikkim, Himachal Pradesh, Arunachal Pradesh, Meghalaya, Assam, Nagaland, Mizoram, Manipur, Tripura",
513,5515,Gastrochilus obliquus,ORCHIDACEAE(Orchid Family),ORCHID FAMILY (ऑर्चिड फैमिली),Gastrochilus obliquus (Lindl.) Kuntze,,Herb,Tropical evergreen forests,,November-December,Kerala,
514,5516,Gastrochilus pulchellus,ORCHIDACEAE(Orchid Family),ORCHID FAMILY (ऑर्चिड फैमिली),Gastrochilus acaulis (Lindl.) Kuntze,,Herb,,,,Karnataka,
515,5517,Gastrocotyle hispida,BORAGINACEAE(Forget-Me-Not Or Borage Family),LASORA FAMILY (लसोड़ा फैमिली),Gastrocotyle hispida (Forssk.) Bunge,,Herb,Weed in cultivated fields and other moist waste places,,February-April,"Punjab, Rajasthan",
516,5518,Gastrodia exilis,ORCHIDACEAE(Orchid Family),ORCHID FAMILY (ऑर्चिड फैमिली),Gastrodia exilis Hook.f.,,Herb,Grasslands,,September-March,Kerala,
517,5519,Gastrodia orobanchoides,ORCHIDACEAE(Orchid Family),ORCHID FAMILY (ऑर्चिड फैमिली),Cheirostylis orobanchoides (F.Muell.) D.L.Jones & M.A.Clem.,,Herb,Temperate to subalpine regions; 2300 - 3000 m. altitude,,July-August,Uttarakhand,Mycoheterotrophic herb
518,5520,Gastrodia silentvalleyana,ORCHIDACEAE(Orchid Family),ORCHID FAMILY (ऑर्चिड फैमिली),"Gastrodia silentvalleyana C.S.Kumar, P.C.S.Kumar, Sibi & S.Anil Kumar",,Herb,Tropical evergreen forests,,December-January,Kerala,
519,5521,Gaultheria fragrantissima,ERICACEAE(Heather Family),RHODODENDRON FAMILY (बुराँश फैमिली),Gaultheria fragrantissima Wall.,Indian winter Green,Shrub,"Shola, Grasslands",,April-May,"Karnataka, Kerala, Tamil Nadu, Sikkim, Arunachal Pradesh, Meghalaya, Assam, Nagaland, Jammu and Kashmir, Andaman and Nicobar Islands, Manipur",
520,5522,Gaultheria kamengiana,ERICACEAE(Heather Family),RHODODENDRON FAMILY (बुराँश फैमिली),Gaultheria kamengiana S.Panda & Sanjappa,,,,,,Arunachal Pradesh,
521,5523,Gaultheria nummularioides,ERICACEAE(Heather Family),RHODODENDRON FAMILY (बुराँश फैमिली),Gaultheria nummularioides D.Don,Coinwort Snowberry,Dwarf shrub,"Evergreen oak forests and on open rocky slopes, often on rocks, rarely epiphytic on trees; 1800 - 4000 m. altitude",This species is variable in the shape and size of its leaves and in its indumentum.,March-December,"Uttarakhand, Sikkim, West Bengal",
522,5524,Gaultheria trichophylla,ERICACEAE(Heather Family),RHODODENDRON FAMILY (बुराँश फैमिली),Gaultheria trichophylla Royle,"Himalayan Snowberry, Creeping Snowberry, Snowberry",Dwarf shrublet,"Montane grasslands, Subalpine forests","It is often found in association with moss on earth, rocks and tree stumps. It is striking for its enchanting sky-blue berries.",May-September,"Uttarakhand, Sikkim, Arunachal Pradesh","Thecae 1-awned, awn ca. 0.5 mm."
523,5525,Gazania linearis,ASTERACEAE(Composite Or Aster Or Sunflower Family),GENDA FAMILY (गेंदा फैमिली),Gazania linearis (Thunb.) Druce,Treasure Flower,Herb,,Cultivated,,,
524,5526,Geissaspis cristata,FABACEAE(Pea Or Bean Family),PALASH FAMILY (पलाश फैमिली),Geissaspis cristata Wight & Arn.,,Herb,Grassy patches in moist open places,Common in moist places.,July-January,"Karnataka, Kerala, Tamil Nadu",Slender herb with long ciliate imbricate bracts
525,5527,Geissaspis cristata,FABACEAE(Pea Or Bean Family),PALASH FAMILY (पलाश फैमिली),Geissaspis cristata Wight & Arn.,,Herb,Crevices of rocks in moist areas,,July-September,Kerala,
526,5528,Geissaspis tenella,FABACEAE(Pea Or Bean Family),PALASH FAMILY (पलाश फैमिली),Geissaspis tenella Benth.,,Herb,In rice fields and moist rocky slopes,Common on lateritic grassy slopes during rainy season.,August-November,"Karnataka, Kerala",
527,5529,Gelonium bifarium,EUPHORBIACEAE(Spurge Family),AMLA FAMILY (आँवला फैमिली),Suregada bifaria (Roxb. ex Willd.) Baill.,,,,,,Andaman and Nicobar Islands,
528,5530,Genianthus laurifolius,ASCLEPIADACEAE(Milkweed Family),AAK FAMILY  (आक फैमिली),Genianthus laurifolius (Roxb.) Hook.f.,,Climber,,Occasional in forests of Western Ghats.,October-December,Karnataka,
529,5531,Geniosporum coloratum,LAMIACEAE(Mint Family),TULSI FAMILY (तुलसी फैमिली),Platostoma coloratum (D.Don) A.J.Paton,Colored Jungle Basil,Shrub,"Shady valleys, thickets; 1100 - 1600 m. altitude",,September-November,"Uttarakhand, Sikkim, West Bengal","Fruiting calyx tubular with prominent reticulate venation, suberect; bracts conspicuous, whitish, persistent"
530,5532,Geniosporum elongatum,LAMIACEAE(Mint Family),TULSI FAMILY (तुलसी फैमिली),Platostoma elongatum (Benth.) A.J.Paton,,Herb,Tropical dry deciduous forests,,December-February,"Andhra Pradesh, Kerala, Odisha",
531,5533,Geniosporum menthoides,LAMIACEAE(Mint Family),TULSI FAMILY (तुलसी फैमिली),Platostoma menthoides (L.) A.J.Paton,,Herb,Sandy river banks and sea coastsks and sea coasts,,,"Andhra Pradesh, Kerala, Tamil Nadu",Nearly glabrous herb
532,5534,Geniosporum tenuiflorum,LAMIACEAE(Mint Family),TULSI FAMILY (तुलसी फैमिली),Platostoma menthoides (L.) A.J.Paton,,Herb,,,,Tamil Nadu,Erect herb
533,5535,Gentiana albicalyx,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana albicalyx Burkill,,Herb,"Alpine meadows, wet grassy meadows, peaty turf and stony hillsides; 2600 - 4500 m. altitude",,March-June,"Uttarakhand, Sikkim",
534,5536,Gentiana aprica,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana decemfida Buch.-Ham. ex D.Don,Sun-Loving Gentian,Herb,"Himalayas, at altitudes of 900 - 1200 m.",,,Uttarakhand,A much branched herb with cream flowers.
535,5537,Gentiana aquatica,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana aquatica var. pseudoaquatica (Kusn.) S.Agrawal,,Herb,"Himalayas, at altitudes of 4600 - 5200 m.",,,"Uttarakhand, Himachal Pradesh",
536,5538,Gentiana argentea,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana argentea (Royle ex D.Don) Royle ex D.Don,Silvery Gentian,Herb,"Himalayan mountain slopes, at altitudes 1600 - 4400 m.",,April-July,Uttarakhand,
537,5539,Gentiana argentea,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Name not found,,,,,,Uttarakhand,
538,5540,Gentiana cachemirica,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana cachemirica Decne.,,Perennial herb,"Rock crevices in Himalayas, at altitudes of 2400 - 4800 m.",,September-October,"Uttarakhand, Himachal Pradesh",
539,5541,Gentiana capitata,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana capitata Buch.-Ham. ex D.Don,Clustered Gentian,Herb,"Meadow slopes, scrub meadows, forest margins, on river banks in forest, roadsides; 1370 - 4500 m. altitude",,February-October,"Uttarakhand, Sikkim, West Bengal, Himachal Pradesh, Arunachal Pradesh",
540,5542,Gentiana cephalodes,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana cephalodes Edgew.,,Herb,Dry open hillsides; 1520 - 1830 m. altitude,,August-October,"Uttarakhand, Sikkim",
541,5543,Gentiana coronata,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana coronata Royle,,Herb,Alpine moist land; 3000 - 5350 m. altitude,,June-August,"Uttarakhand, Himachal Pradesh",
542,5544,Gentiana crassuloides,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana crassuloides Bureau & Franch.,,Herb,"Open hillsides, in short turf, dry sandy ground, stream and river banks; 2700 - 4500 m. altitude",,June-September,"Uttarakhand, Sikkim, Himachal Pradesh",
543,5545,Gentiana duthiei,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Jaeschkea microsperma C.B.Clarke,,,,,,Uttarakhand,
544,5546,Gentiana harwanensis,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana capitata subsp. harwanensis (G.Singh) Halda,,Herb,"On rocks, grassy slopes and loose soil in open temperate to sub-alpine forests above 1700 to 4000 m. altitude",,February-June,"Uttarakhand, Sikkim",
545,5547,Gentiana infelix,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Kuepferia infelix (C.B.Clarke) Adr.Favre,,Perennial herb,"Alpine meadows, open grassy hillsides, rock crevices and scree; 4100 - 4500 m. altitude",,August-October,"Uttarakhand, Sikkim",
546,5548,Gentiana kumaonensis,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana huxleyi Kusn.,,Herb,Hillsides of Himalaya; 3800 - 4000 m. altitude,,April-June,"Uttarakhand, Sikkim",
547,5549,Gentiana kurroo,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana kurroo Royle,"Himalayan Gentian, Indian Gentian",Perennial herb,Subalpine to alpine meadows at altitudes of 1800 - 3000 m.,This species grow luxuriantly on southern open exposed slopes of mid and higher mountain ridges.,September-October,"Uttarakhand, Himachal Pradesh",
548,5550,Gentiana leucomelaena,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana leucomelaena Maxim.,Blue-Dotted Gentian,Herb,"Cold Desert, Montane grasslands",,May-October,"Uttarakhand, Sikkim, Himachal Pradesh, Ladakh","Flowers are few, pale blue, rarely white, with blue-gray stripes, with dark blue spots in throat, bell-shaped."
549,5551,Gentiana marginata,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana membranulifera T.N.Ho,Clustered Summer Gentian,Herb,Silty ground above moraine and open slopes in the Himalayas; 3000 - 3500 m. altitude,,May-September,"Uttarakhand, Himachal Pradesh",
550,5552,Gentiana marginata,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana hugelii Griseb.,Hugel's Gentian,Herb,"Himalayas, at altitudes of 2650 - 4400 m. altitude",,May-September,"Uttarakhand, Himachal Pradesh",
551,5553,Gentiana nubigena,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana nubigena Edgew.,,Perennial herb,"Bog meadows, alpine meadows and scrub, rocky places in high mountains, wet scree and grassy banks; 3000 - 5300 m. altitude",,July-October,"Uttarakhand, Sikkim",
552,5554,Gentiana pedicellata,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Unresolved name,,Herb,,,,Karnataka,
553,5555,Gentiana pedicellata,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana quadrifaria Blume,,Herb,Grasslands,,April-June,Kerala,
554,5556,Gentiana prostrata,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana prostrata Haenke,Pygmy gentian,,Moist areas in the high mountain; 3650 - 4400 m. altitude,,,"Uttarakhand, Himachal Pradesh",
555,5557,Gentiana prostrata,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana stellata Turrill,,Herb,High mountain; 4000 - 6000 m. altitude,,August-September,"Uttarakhand, Himachal Pradesh",
556,5558,Gentiana quadrifaria,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana quadrifaria Blume,,Herb,Grasslands,,,Karnataka,
557,5559,Gentiana quadrifaria,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana pedicellata subsp. zeylanica (Griseb.) Halda,,Herb,Grasslands,,September-November,"Karnataka, Kerala",
558,5560,Gentiana saginoides,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana saginoides Burkill,,Herb,"Moist, steep, exposed slopes in treeline ecotone areas and open area among the Rhododendron campanulatum; 3000 - 3686 m. altitude",,May-June,Uttarakhand,
559,5561,Gentiana stipitata,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana stipitata Edgew.,Large Pale Gentian,Herb,Stony slopes in the Himalaya; 3200 - 4600 m. altitude,It is a late blooming species in alpine zones initiating its flowering only in Sepember and later.,June-October,Uttarakhand,Corolla lobes distinctly awned
560,5562,Gentiana tetrasepala,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana tetrasepala Biswas,,Herb,Grassy mountain slopes of Himalaya; 3800 - 4700 m. altitude,,July-October,Uttarakhand,
561,5563,Gentiana tianschanica,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Name not found,Tian-Shan Gentian,Perennial herb,"Along streams, grassland slopes, forests; 1200 - 3900 m. altitude",,July-October,"Uttarakhand, Himachal Pradesh",
562,5564,Gentiana tubiflora,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana tubiflora (G.Don) Griseb.,,Perennial herb,"Grassy hillsides, dry hillsides, alpine meadows and scree; 4200 - 5300 m. altitude",,July-October,"Uttarakhand, Sikkim, Himachal Pradesh",
563,5565,Gentiana veitchiorum,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana veitchiorum Hemsl.,,Perennial herb,"On grassy moorland, river banks, grassland slopes, alpine meadows, scrub, forests; 2500 - 5030 m. altitude",,July-October,"Uttarakhand, Sikkim",
564,5566,Gentiana venusta,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentiana venusta (G.Don) Wall. ex Griseb.,Charming Gentian,Perennial herb,Thick and moist alpine meadows and open grassy slopes; 3000 - 5800 m. altitude,,June-September,"Uttarakhand, Sikkim, Himachal Pradesh",
565,5567,Gentianella aurea,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentianella aurea (L.) Harry Sm.,,Herb,Found in most regions of Iceland except for the barren highland,,,Uttarakhand,
566,5568,Gentianella azurea,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentianella azurea (Bunge) Holub,Sky Blue Gentian,Herb,"Grasslands on hillsides, alpine meadows, scrub forests, open stony hillside, at altitudes of 2200 - 4900 m.",,July-September,Uttarakhand,Flowers in lax cymes; pedicels 6-27mm; calyx lobes acute
567,5569,Gentianella gentianoides,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentianella gentianoides (Franch.) Harry Sm.,,Herb,"Grassland slopes, scrub, forests; 2700 - 4200 m. altitude",,October-November,Uttarakhand,
568,5570,Gentianella maddenii,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentianella maddenii (C.B.Clarke) Airy Shaw,,Herb,River beds; ca. 3810 m. altitude,,September,Uttarakhand,
569,5571,Gentianella maddenii,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentianella maddenii var. glanduligera (Airy Shaw) S.Agrawal,,Herb,,,,Uttarakhand,
570,5572,Gentianella moorcroftiana,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentianella moorcroftiana (Wall. ex Griseb.) Airy Shaw,Moorcroft's Gentian,Herb,"Dense and wet grass lands, Hillsides; 2400 - 5200 m. altitude","A variable species particularly in branching pattern and type of inflorescence, but can be differentiated from its allies on the basis of broader corolla.",July-September,Uttarakhand,
571,5573,Gentianella tenella,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Comastoma tenellum (Rottb.) Toyok.,"Slender gentian, Dane's dwarf gentian",Herb,"Hillsides, wet places, steep, shaded rocky outcrops and ledges with thin moist soil",,June-August,Uttarakhand,
572,5574,Gentianopsis contorta,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentianopsis contorta (Royle) Ma,,Herb,On dry slopes in forest and shady moist places; 1900 - 3658 m. altitude,,July-October,Uttarakhand,
573,5575,Gentianopsis paludosa,GENTIANACEAE(Gentian Family),BHUIN NEEM FAMILY,Gentianopsis paludosa (Hook.f.) Ma,,Herb,"On open plain amidst small bushes, beside streams, meadow slopes, forests; 1100 - 4900 m. altitude",,July-October,"Uttarakhand, Himachal Pradesh",Corolla blue
574,5576,Geodorum attenuatum,ORCHIDACEAE(Orchid Family),ORCHID FAMILY (ऑर्चिड फैमिली),Geodorum attenuatum Griff.,,Herb,Semi-deciduous and deciduous dry lowland forests and savana-like woodlands in shady habitats on rocky substrates at elevations,,,Jharkhand,"A medium sized, hot to warm growing terrestrial species with conical pseudobulbs carrying 3 to 4, broadly elliptic-lanceolate, plicate, acuminate, basally clasping leaves that blooms in the summer on an erect, basal, shorter than the leaves, several [10], rather densely flowered inflorescence arising with a newly developing leafy pseudobulb"
575,5577,Geodorum densiflorum,ORCHIDACEAE(Orchid Family),ORCHID FAMILY (ऑर्चिड फैमिली),Geodorum densiflorum (Lam.) Schltr.,Nodding Swamp Orchid,Herb,"Moist deciduous and Tropical semi-evergreen forests, also in the plains","Often on hills from 700-1400m, either on exposed slopes in crevices of rocks or in shade on shola floor",April-June,"Andhra Pradesh, Telangana, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu",
576,5578,Geodorum recurvum,ORCHIDACEAE(Orchid Family),ORCHID FAMILY (ऑर्चिड फैमिली),Geodorum recurvum (Roxb.) Alston,,Herb,,,,"Andhra Pradesh, Telangana",
577,5579,Geophila repens,RUBIACEAE(Madder Or Coffee Family),COFFEE FAMILY (कॉफी फैमिली),Geophila repens (L.) I.M.Johnst.,,Herb,"Tropical semi-evergreen forests, Tropical moist deciduous forests, also in sacred groves",,July-April,"Andhra Pradesh, Kerala",
578,5580,Geophila repens,RUBIACEAE(Madder Or Coffee Family),COFFEE FAMILY (कॉफी फैमिली),Geophila repens (L.) I.M.Johnst.,,Herb,,Sparse,,Kerala,
579,5581,Geranium collinum,GERANIACEAE(Geranium Family),RATANJOT FAMILY (रतनजोत फैमिली),Geranium collinum Stephan ex Willd.,Hill Geranium,Rhizomatus herb,Along irrigation ditches or damp places from 2800-4800 m. altitude,"A polymorphic species with an unusual amount of variability in the plant and leaf size, shape, incision and the degree of pubescence.",July-August,Uttarakhand,
580,5582,Geranium donianum,GERANIACEAE(Geranium Family),RATANJOT FAMILY (रतनजोत फैमिली),Geranium donianum Sweet,Don's Geranium,Perennial herb,"Scrub, alpine meadows in Fir and Juniper forests, 2400-4100 m. altitude",Don's Geranium was named in the honour of the British botanist David Don (1800-1841),June-October,"Uttarakhand, Sikkim",
581,5583,Geranium himalayense,GERANIACEAE(Geranium Family),RATANJOT FAMILY (रतनजोत फैमिली),Geranium himalayense Klotzsch,"Himalayan Geranium, Lilac Cranesbill",Perennial herb,"Meadows, roadsides, grasslands, open woods and dunes",,June-September3,Uttarakhand,
582,5584,Geranium lambertii,GERANIACEAE(Geranium Family),RATANJOT FAMILY (रतनजोत फैमिली),Geranium lamberti Sweet,Lambert's Geranium,Perennial herb,"Clearings in Blue Pine and Fir forests and Juniper scrub, 2350-4200 m. altitude",,June-September,"Uttarakhand, Sikkim","Resembles Geranium wallichianum, but differs in the narrower stipules, the villous filaments and shorter sepal awn (1 mm)."
583,5585,Geranium lucidum,GERANIACEAE(Geranium Family),RATANJOT FAMILY (रतनजोत फैमिली),Geranium lucidum L.,"Shining Geranium, Shining cranesbill",Herb,"Common on limestone rocks and walls, and in churchyards on roadside verges, banks, gardens and bare ground",,March-May,Uttarakhand,
584,5586,Geranium molle,GERANIACEAE(Geranium Family),RATANJOT FAMILY (रतनजोत फैमिली),Geranium molle L.,"Dovesfoot Geranium, Awnless Geranium",Herb,"Dry meadows, hedges, banks and forest edges","It prefers sunny places on sandy and relatively dry soils, at an altitude of 0–1,000 metres",April-September,Uttarakhand,
585,5587,Geranium nepalense,GERANIACEAE(Geranium Family),RATANJOT FAMILY (रतनजोत फैमिली),Geranium nepalense Sweet,"Nepal Geranium, Nepalese Crane's-bill",Herb,Shola,,April-September,"Karnataka, Kerala, Tamil Nadu","Perennial, several stemmed, hairy, decumbent herbs with branches rooting at nodes; Leaves opposite, angled, lobed, spreading, pubescent; Petiole long, villous, covered with white hairs; Flowers solitary or binate purple-pinkish; Calyx persistent; Corolla red-purplish; Fruit a ellipsoid, subglobose, lobed capsule which dehisces ventrally ; seed ellipsoid, long, smooth, shiny and black."
586,5588,Geranium ocellatum,GERANIACEAE(Geranium Family),RATANJOT FAMILY (रतनजोत फैमिली),Geranium mascatense Boiss.,,Herb,In crevices of stone walls,Occasional,October-December,"Maharashtra, Uttarakhand",
587,5589,Geranium ocellatum,GERANIACEAE(Geranium Family),RATANJOT FAMILY (रतनजोत फैमिली),Geranium mascatense Boiss.,,Herb,Humid places,Rare,September,Maharashtra,
588,5590,Geranium polyanthes,GERANIACEAE(Geranium Family),RATANJOT FAMILY (रतनजोत फैमिली),Geranium polyanthes Edgew. & Hook.f.,Many-Flower Geranium,Herb,"Damp ground in Fir and Juniper forests, 2900-3600 m. altitude",,June-September,"Uttarakhand, Sikkim",
589,5591,Geranium pratense,GERANIACEAE(Geranium Family),RATANJOT FAMILY (रतनजोत फैमिली),Geranium pratense L.,Meadow Cranesbill,Perennial herb,"Meadows, farmland at 1600-2200 m. altitudeOn the edges of permanent pastures, beside hedgerows and on roadside verges","Grows on the edges of permanent pastures, beside hedgerows and on roadside verges",June-September,"Uttarakhand, Himachal Pradesh",
590,5592,Geranium procurrens,GERANIACEAE(Geranium Family),RATANJOT FAMILY (रतनजोत फैमिली),Geranium procurrens Yeo,Trailing Geranium,Perennial herb,"Hemlock and Fir forests, 2440-3600 m. altitude",,July-October,"Uttarakhand, Sikkim",
591,5593,Geranium robertianum,GERANIACEAE(Geranium Family),RATANJOT FAMILY (रतनजोत फैमिली),Geranium robertianum L.,"Herb Robert, bloodwort, cranesbill, felonwort, fox geranium, red robin",Herb,"Predominantly a woodland plant, but may be found in shaded hedgebanks, grasslands and more open vegetation including cracks in walls and rocks ; 900-3300 m. altitude",Also grow as an epiphyte.,April-August,Uttarakhand,
592,5594,Geranium rotundifolium,GERANIACEAE(Geranium Family),RATANJOT FAMILY (रतनजोत फैमिली),Geranium rotundifolium L.,"Round-leaf Crane'sbill, Roundleaf Geranium",Herb,Steppes; 900-1400 m. altitude,"The general appearance of this species is much like Geranium molle or G. pusillum, and it occasionally has been misidentified with these species. However, its rounded petals and smooth mericarps permit an easy identification, which also could be supported by its subspherical and remarkably reticulate seeds.",May-July,Uttarakhand,
593,5595,Geranium sibiricum,GERANIACEAE(Geranium Family),RATANJOT FAMILY (रतनजोत फैमिली),Geranium sibiricum L.,,Perennial herb,"Forest margins, scrub, meadows, weedy areas; 2000-3900 m. altitude",,June-August,Uttarakhand,This species is characterized by 1-flowered cymules and by leaves with narrow segments.
594,5596,Geranium wallichianum,GERANIACEAE(Geranium Family),RATANJOT FAMILY (रतनजोत फैमिली),Geranium wallichianum D.Don ex Sweet,Wallich Geranium,Perennial herb,"Broad-leaved forests, Shrubberies and open slopes; 2500-3400 m. altitude",Common in pine forest,June-September,Uttarakhand,"Flowers with blackish filaments, anthers, and stigma, and broad bracteoles."
595,5597,Gerbera gossypina,ASTERACEAE(Composite Or Aster Or Sunflower Family),GENDA FAMILY (गेंदा फैमिली),Oreoseris gossypina (Royle) X.D.Xu & V.A.Funk,Hairy Gerbera Daisy,Herb,Open grassy slopes of the Himalayas; 1200 - 2400 m. altitude,,March-June,Uttarakhand,
596,5598,Gerbera jamesonii,ASTERACEAE(Composite Or Aster Or Sunflower Family),GENDA FAMILY (गेंदा फैमिली),Gerbera jamesonii Bolus ex Hook.f.,Barberton daisy,Herb,Garden plant,Cultivated in gardens,Throughout the year,Odisha,
597,5599,Gerbera maxima,ASTERACEAE(Composite Or Aster Or Sunflower Family),GENDA FAMILY (गेंदा फैमिली),Oreoseris maxima (D.Don) X.D.Xu & W.Zheng,,Perennial herb,"In forests and in the shade of rocks, 1980 - 2300 m. altitude",,August-October,"Uttarakhand, Sikkim",
