,Plant_Id,Scientific_Name,Common_Name,Regional_Name,Category,Family,Light,Water,Primary_Grown_for,Flowering_Season,Foliage_Color,Height_or_Length,Spread_or_Width,Plant_Form,Lifespan,Special_Feature,Plant_Description,Growing_Tips,clean_info
1102,1469,Euphorbia greenwayii,Euphorbia Greenwayii,,cacti succulents,euphorbiaceae poinsettia family,"Sun growing, Semi shade","Can tolerate less, Requires less",Foliage,flowers inconspicuous,blue grey silver,1 to 2 meters,50 cms to 100 cms,upright erect,,animals not eat thorny spiny,nation tanzania stem thick erect 3angled bluish green thorny plants spines tubercles reddish brown cyathia groups 23pendant tuberlles along upper part stem greyish pink,full sun well semi shade grow varied climate soil suitable outdoor phmay vary 6085 wide ranges soil differing structure texture well fertility,"Euphorbia greenwayii Euphorbia Greenwayii cacti succulents euphorbiaceae poinsettia family Sun growing, Semi shade Can tolerate less, Requires less Foliage flowers inconspicuousblue grey silver 1 to 2 meters 50 cms to 100 cms upright erect  animals not eat thorny spiny full sun well semi shade grow varied climate soil suitable outdoor phmay vary 6085 wide ranges soil differing structure texture well fertility"
1103,1470,Philodendron wendlandii,"Philodendron Wendlandii, Birdnest Philodendron",,indoor plants groundcovers climbers creepers vines,araceae alocasia family,"Semi shade, Shade growing, Low light tolerant",Normal,Foliage,flowers inconspicuous,green,1 to 2 meters,50 cms to 100 cms,climbing growing support upright erect,,good cut foliage nasa plant indoor pollution control,plants rosette thick waxy green long obovate leaves thick midrib arranged like birds nest short petioles spongy spathe cream white philodendrons stout small stems quite slow growing leaves held closely together form stems takes many many years plants medium growth therefore not require trimming plants form nice compact full specimens philodendrons plants tropical jungles grow equally well ground covers moss sticks moss sticks not use long tall ones plants not grow tall,grows well warm temperatures high humidity like bright light not direct sunlight soil well drained put pots arranging broken pot pieces bottom aid drainage adding sand potting mix also good idea planted ferns plants plants enjoy philodendrons plants tropical jungles love warm weather water shade philodendron hope hybrid developed pot culture robust not get stem quickly planted pots well ground good effect,"Philodendron wendlandii Philodendron Wendlandii, Birdnest Philodendron indoor plants groundcovers climbers creepers vines araceae alocasia family Semi shade, Shade growing, Low light tolerant Normal Foliage flowers inconspicuousgreen 1 to 2 meters 50 cms to 100 cms climbing growing support upright erect  good cut foliage nasa plant indoor pollution control grows well warm temperatures high humidity like bright light not direct sunlight soil well drained put pots arranging broken pot pieces bottom aid drainage adding sand potting mix also good idea planted ferns plants plants enjoy philodendrons plants tropical jungles love warm weather water shade philodendron hope hybrid developed pot culture robust not get stem quickly planted pots well ground good effect"
1104,1471,Alocasia black velvet,Alocasia Black Velvet,,indoor plants,araceae alocasia family,"Semi shade, Shade growing","Normal, Can tolerate more",Foliage,flowers inconspicuous,green white purple,Less than 50 cms,Less than 50 cms,spreading upright erect,,rare plant difficult get plant good cut foliage grows best humid warm regions,variety small dark colored leaves excellent growing small containers alocasias natives moist humid regions asia plants not grow big short internodes leaf petioles leaves elongated heart shape,high relative humidity required keep plants looking attractive grow best soil mixes 50 percent organic matter plants kept away full sunlight variety best grown pots,"Alocasia black velvet Alocasia Black Velvet indoor plants araceae alocasia family Semi shade, Shade growing Normal, Can tolerate more Foliage flowers inconspicuousgreen white purple Less than 50 cms Less than 50 cms spreading upright erect  rare plant difficult get plant good cut foliage grows best humid warm regions high relative humidity required keep plants looking attractive grow best soil mixes 50 percent organic matter plants kept away full sunlight variety best grown pots"
1105,1476,Magnolia humilis,Magnolia,Marathi - Barik Kavti Chaffa,shrubs,magnoliaceae magnolia family,"Sun growing, Semi shade","Normal, Can tolerate less, Can tolerate more",Flowers,yeararound flowering flowers flushes throughout year,green,2 to 4 meters,1 to 2 meters,upright erect,,fragrant flowers leaves auspicious feng shui plant plant puja prayer flower leaves good screening good hedges borders suitable road median planting good seaside,fragrant delightful flower smells like ripe wood apple flowers small cream coloured plants form neat oval shaped bushes around 2 3 high well acidic soils,grow semi shade well full sunlight grown beautiful flowers temperate climate several species also grown shrub tropical gardens,"Magnolia humilis Magnolia shrubs magnoliaceae magnolia family Sun growing, Semi shade Normal, Can tolerate less, Can tolerate more Flowers yeararound flowering flowers flushes throughout yeargreen 2 to 4 meters 1 to 2 meters upright erect  fragrant flowers leaves auspicious feng shui plant plant puja prayer flower leaves good screening good hedges borders suitable road median planting good seaside grow semi shade well full sunlight grown beautiful flowers temperate climate several species also grown shrub tropical gardens"
1106,1477,Zinnia x hybrida pink,Mini Zinnia Pink,,flowering pot plants groundcovers,compositae sunflower family,Sun growing,"Normal, Can tolerate more",Flowers,yeararound flowering flowers flushes throughout year,green,Less than 50 cms,Less than 50 cms,spreading,,plant puja prayer flower leaves good edges ie small hedge border,dwarf zinnia excellent bedding plants seeds fall germinate keeps beds blooming several months color may fade harsh sunlight,plants grow shorter flower more direct sunlight dry air causes tender petals curl ensure planting medium made well mentioned seeds fall germinate order make possible soil good lots organic matter soil advisable thin mulch coco chips dry leaves soil plant plants 20 x 20 cms spacing regular liquid fertilizer help keep color going strong,"Zinnia x hybrida pink Mini Zinnia Pink flowering pot plants groundcovers compositae sunflower family Sun growing Normal, Can tolerate more Flowers yeararound flowering flowers flushes throughout yeargreen Less than 50 cms Less than 50 cms spreading  plant puja prayer flower leaves good edges ie small hedge border plants grow shorter flower more direct sunlight dry air causes tender petals curl ensure planting medium made well mentioned seeds fall germinate order make possible soil good lots organic matter soil advisable thin mulch coco chips dry leaves soil plant plants 20 x 20 cms spacing regular liquid fertilizer help keep color going strong"
1107,1478,Hypoestes sanguinolenta white,Polka Dot White,Marathi - Polka Dot Pandhra,groundcovers indoor plants,acanthaceae crossandra thunbergia family,"Semi shade, Shade growing",Normal,Foliage,flowers inconspicuous,variegated green white,Less than 50 cms,Less than 50 cms,spreading,,good edges ie small hedge border,foliage colourful attractive new varieties commonly grown plants definite improvement ancestors colors bright growing habit dwarf,grow plants bright light color fade shade plants flowers winter flowers small long upright inflorosences cut reduce leaf size trimmed low get new good colourful growth,"Hypoestes sanguinolenta white Polka Dot White groundcovers indoor plants acanthaceae crossandra thunbergia family Semi shade, Shade growing Normal Foliage flowers inconspicuousvariegated green white Less than 50 cms Less than 50 cms spreading  good edges ie small hedge border grow plants bright light color fade shade plants flowers winter flowers small long upright inflorosences cut reduce leaf size trimmed low get new good colourful growth"
1108,1479,Hypoestes sanguinolenta pink,Polka Dot Pink,Marathi - Polka Dot Gulabi,groundcovers indoor plants,acanthaceae crossandra thunbergia family,"Semi shade, Shade growing",Normal,Foliage,flowers inconspicuous,variegated pink green,Less than 50 cms,Less than 50 cms,spreading,,good edges ie small hedge border,foliage colourful attractive new varieties commonly grown plants definite improvement ancestors colors bright growing habit dwarf,grow plants bright light color fade shade plants flowers winter flowers small long upright inflorosences cut reduce leaf size trimmed low get new good colourful growth,"Hypoestes sanguinolenta pink Polka Dot Pink groundcovers indoor plants acanthaceae crossandra thunbergia family Semi shade, Shade growing Normal Foliage flowers inconspicuousvariegated pink green Less than 50 cms Less than 50 cms spreading  good edges ie small hedge border grow plants bright light color fade shade plants flowers winter flowers small long upright inflorosences cut reduce leaf size trimmed low get new good colourful growth"
1109,1481,Mammillaria elongata,"Mammillaria Elongata, Golden Star, Lace  Cactus, Lady Finger",,cacti succulents,cactaceae,"Sun growing, Semi shade",Normal,Flowers,march april may june july august,green brown,Less than 50 cms,Less than 50 cms,columnar,,animals not eat thorny spiny,creamy yellow flower12 inch wide flower spring summer cactus covered yellow spines spines arranged star pattern,full sunmin 4 hours sunlightlight shade sand potting mix bone meal good sandy soil fertilizer 153015 n p kha,"Mammillaria elongata Mammillaria Elongata, Golden Star, Lace  Cactus, Lady Finger cacti succulents cactaceae Sun growing, Semi shade Normal Flowers march april may june july augustgreen brown Less than 50 cms Less than 50 cms columnar  animals not eat thorny spiny full sunmin 4 hours sunlightlight shade sand potting mix bone meal good sandy soil fertilizer 153015 n p kha"
1110,1482,Notocactus leninghausii,"Notocactus, Golden Pipe Cactus",,cacti succulents,cactaceae,"Sun growing, Semi shade",Requires less,Flowers,february march,yellow green,1 to 2 meters,Less than 50 cms,columnar,,animals not eat thorny spiny,golden yellow color cactus makes stand collection nationsouthren brazil elongated cylindrical shape covered thin fine golden yellow spines,full sun min 4 hours sunlight sand potting mix bone meal good growing seasonspringsummer fertilizer 153015 grow bestdrained sandy loam,"Notocactus leninghausii Notocactus, Golden Pipe Cactus cacti succulents cactaceae Sun growing, Semi shade Requires less Flowers february marchyellow green 1 to 2 meters Less than 50 cms columnar  animals not eat thorny spiny full sun min 4 hours sunlight sand potting mix bone meal good growing seasonspringsummer fertilizer 153015 grow bestdrained sandy loam"
1111,1483,Annona reticulata,"Bullock Heart, Corazon, Ramphal, Gritty Custard Apple","Hindi - Ramphal, Manipuri - Sitaphal, Marathi - Ramphal, Tamil - Ramachita, Malayalam - Manilanilam, Kannada - Ramphal, Bengali - Nona, Oriya - Ramopholo, Konkani - Anon, Gujarati - Ramphal, Sanskrit - Lavani, Krishnabija",fruit plants trees,annonaceae custard apple family,Sun growing,"Normal, Can tolerate less, Can tolerate more",Fruit or Seed,january february march december flowers inconspicuous,green,6 to 8 meters,6 to 8 meters,spherical rounded,Very long lived,good screening attracts birds attracts bees quick growing trees evergreen trees suitable avenue planting salt salinity tolerant good seaside must farm house big gardens,must tree farm houses large gardens gives lots delicious fruit medium sized tree grows around 5 meters spread around well rounded evergreen tree,plants grow well soils good fertile soils good drainage yield lots fruit plants planted nice sunny spot non fussy easy grow plant yields start 3rd 4th year onwards fruit picked mature early result poor taste late not get birds get fruit wrapped paper kept ripening grain 2 4 days later fruit soft kept fridge eaten cool,"Annona reticulata Bullock Heart, Corazon, Ramphal, Gritty Custard Apple fruit plants trees annonaceae custard apple family Sun growing Normal, Can tolerate less, Can tolerate more Fruit or Seed january february march december flowers inconspicuousgreen 6 to 8 meters 6 to 8 meters spherical rounded Very long lived good screening attracts birds attracts bees quick growing trees evergreen trees suitable avenue planting salt salinity tolerant good seaside must farm house big gardens plants grow well soils good fertile soils good drainage yield lots fruit plants planted nice sunny spot non fussy easy grow plant yields start 3rd 4th year onwards fruit picked mature early result poor taste late not get birds get fruit wrapped paper kept ripening grain 2 4 days later fruit soft kept fridge eaten cool"
1112,1484,"Artocarpus altilis, A. communis, A. incisus","Bread Fruit, Milk Juice Tree","Marathi - Vilaiti Phanas, Bengali - Dephal, Kannada - Deevigujje, Malayalam - Seema Chakka, Tamil - Seemepalakkai, Telugu - Seema Panasa",fruit plants trees vegetable medicinal plants,moraceae fig family,"Sun growing, Semi shade, Shade growing","Normal, Can tolerate less, Can tolerate more",Fruit or Seed,january february march november december flowers inconspicuous,green,More than 12 meters,8 to 12 meters,irregular upright erect,,indigenous native india good screening attracts birds recommended creating shade quick growing trees evergreen trees suitable road median planting suitable avenue planting salt salinity tolerant good seaside grows best humid warm regions must farm house big gardens,staple diet many people south pacific ornamental tree foliage amongst striking tropical trees fruits cooked eaten raw potatoes tropical not like cold much,climate grows well hot humid climate annual rainfall 1500 2500 mm temperature 21 322 deg c ideal young plants grow better shade later require full exposure sunlight soil well drained fertile soil best contain good organic matter planting light medium soil planting pits 60 cm width x 60 cm length deep taken organic manure 25 kg tree applied watering watering given summer helps check fruit drop,"Artocarpus altilis, A. communis, A. incisus Bread Fruit, Milk Juice Tree fruit plants trees vegetable medicinal plants moraceae fig family Sun growing, Semi shade, Shade growing Normal, Can tolerate less, Can tolerate more Fruit or Seed january february march november december flowers inconspicuousgreen More than 12 meters 8 to 12 meters irregular upright erect  indigenous native india good screening attracts birds recommended creating shade quick growing trees evergreen trees suitable road median planting suitable avenue planting salt salinity tolerant good seaside grows best humid warm regions must farm house big gardens climate grows well hot humid climate annual rainfall 1500 2500 mm temperature 21 322 deg c ideal young plants grow better shade later require full exposure sunlight soil well drained fertile soil best contain good organic matter planting light medium soil planting pits 60 cm width x 60 cm length deep taken organic manure 25 kg tree applied watering watering given summer helps check fruit drop"
1113,1485,Eranthemum purpureum,Kodia Purple Leaves,Marathi - Kodia Jambhala,shrubs groundcovers,acanthaceae crossandra thunbergia family,"Sun growing, Semi shade",Normal,Foliage,flowers inconspicuous,purple green red,1 to 2 meters,1 to 2 meters,spherical rounded,,good hedges borders good edges ie small hedge border suitable road median planting good seaside,striking deep purple colour plants make fantastic contrast light green yellow coloured foliage excellent use full sunlight plants not like low humidity cold weather hardy plants colorful leaves grown leaves simple variegated plants grow around 1 15 meter bushy rounded require little care makes popular,like plenty humus water summer weel drained soil partial shade bloom rains plants well anywhere maximum color develop full sunlight fades light decreases require less pruning hedge plants,"Eranthemum purpureum Kodia Purple Leaves shrubs groundcovers acanthaceae crossandra thunbergia family Sun growing, Semi shade Normal Foliage flowers inconspicuouspurple green red 1 to 2 meters 1 to 2 meters spherical rounded  good hedges borders good edges ie small hedge border suitable road median planting good seaside like plenty humus water summer weel drained soil partial shade bloom rains plants well anywhere maximum color develop full sunlight fades light decreases require less pruning hedge plants"
1114,1486,"Meyenia erecta purpurea, Thungerbia erecta purpurea",Meyenia Erecta Purple,"Marathi - Mynea, Mynia Jambhala",shrubs groundcovers,acanthaceae crossandra thunbergia family,"Sun growing, Semi shade",Can tolerate less,Flowers,yeararound flowering flowers flushes throughout year,green,1 to 2 meters,1 to 2 meters,spreading upright erect,,plant puja prayer flower leaves good screening good hedges borders attracts bees suitable road median planting hanging weeping growth habit,think hedges meyenia comes mind first make reliable hedges variety purple flowers plants quick growing equally well sun well semi shade hedges uneven light conditions look even used spot shrubs plant groups cover large ground areas plant whose performance count disadvantage think flowers somewhat hidden inside foliage,hardy tropical plants plants like lantanas grow soil long well drained regular fertilizers keep foilage green glowing,"Meyenia erecta purpurea, Thungerbia erecta purpurea Meyenia Erecta Purple shrubs groundcovers acanthaceae crossandra thunbergia family Sun growing, Semi shade Can tolerate less Flowers yeararound flowering flowers flushes throughout yeargreen 1 to 2 meters 1 to 2 meters spreading upright erect  plant puja prayer flower leaves good screening good hedges borders attracts bees suitable road median planting hanging weeping growth habit hardy tropical plants plants like lantanas grow soil long well drained regular fertilizers keep foilage green glowing"
1115,1487,Mammillaria celsiana,Pincushion Cactus,,cacti succulents,cactaceae,"Shade growing, Low light tolerant","Can tolerate less, Requires less",Flowers,february march april may,green white,Less than 50 cms,Less than 50 cms,columnar spherical rounded,,animals not eat thorny spiny,fine growing cactus tubular flowers arise circular fashion top bright red fruits stay plants long time look quite attractive pink flower04 inch plant bodyround globular,light shade sand potting mix bone meal good good drainage soil fertilizer 153015,"Mammillaria celsiana Pincushion Cactus cacti succulents cactaceae Shade growing, Low light tolerant Can tolerate less, Requires less Flowers february march april maygreen white Less than 50 cms Less than 50 cms columnar spherical rounded  animals not eat thorny spiny light shade sand potting mix bone meal good good drainage soil fertilizer 153015"
1116,1488,Cupressus sempervirensis aureum,"Cupressus Golden, Golden Monterey Cyprss.",Marathi - Golden Cupressus,shrubs trees,cupressaceae juniper family,"Sun growing, Semi shade",Normal,Foliage,flowers inconspicuous,yellow green,4 to 6 meters,2 to 4 meters,pyramidal upright erect,,fragrant flowers leaves good making bonsai good cut foliage good topiary good screening good hedges borders good edges ie small hedge border suitable road median planting suitable avenue planting salt salinity tolerant grows best cooler regions,native new zealand handsome evergreen branches horizontal habit golden foliage quick growing tree smaller more compact golden foliage,grow fertile preferably acidic not like hot dry best suited areas mild climate,"Cupressus sempervirensis aureum Cupressus Golden, Golden Monterey Cyprss. shrubs trees cupressaceae juniper family Sun growing, Semi shade Normal Foliage flowers inconspicuousyellow green 4 to 6 meters 2 to 4 meters pyramidal upright erect  fragrant flowers leaves good making bonsai good cut foliage good topiary good screening good hedges borders good edges ie small hedge border suitable road median planting suitable avenue planting salt salinity tolerant grows best cooler regions grow fertile preferably acidic not like hot dry best suited areas mild climate"
1117,1489,Portulaca grandiflora light pink,"Office Time Double Light Pink, Purslane",Marathi - Chini Gulab,groundcovers,portulacaceae office time family,Sun growing,"Normal, Can tolerate less",Flowers,yeararound flowering flowers flushes throughout year,green,Less than 50 cms,50 cms to 100 cms,low spreading,,good edges ie small hedge border suitable road median planting hanging weeping growth habit,bed well grown portulacas colourful planted full sunlight flowers open around 9 close evening hence name ideal planting factories offices plants perennial,soils well drained fertile addition good organic matter advised plants planted 20 30 cms centers plants stay bloom well around 2 years second year soil preperation not good year plants need replaced new ones planted,"Portulaca grandiflora light pink Office Time Double Light Pink, Purslane groundcovers portulacaceae office time family Sun growing Normal, Can tolerate less Flowers yeararound flowering flowers flushes throughout yeargreen Less than 50 cms 50 cms to 100 cms low spreading  good edges ie small hedge border suitable road median planting hanging weeping growth habit soils well drained fertile addition good organic matter advised plants planted 20 30 cms centers plants stay bloom well around 2 years second year soil preperation not good year plants need replaced new ones planted"
1118,1490,Portulaca grandiflora white,"Office Time Double White, Purslane",Marathi - Chini Gulab,groundcovers,portulacaceae office time family,Sun growing,"Normal, Can tolerate less",Flowers,yeararound flowering flowers flushes throughout year,green,Less than 50 cms,50 cms to 100 cms,low spreading,,good edges ie small hedge border suitable road median planting hanging weeping growth habit,bed well grown portulacas colourful planted full sunlight flowers open around 9 close evening hence name ideal planting factories offices plants perennial,soils well drained fertile addition good organic matter advised plants planted 20 30 cms centers plants stay bloom well around 2 years second year soil preperation not good year plants need replaced new ones planted,"Portulaca grandiflora white Office Time Double White, Purslane groundcovers portulacaceae office time family Sun growing Normal, Can tolerate less Flowers yeararound flowering flowers flushes throughout yeargreen Less than 50 cms 50 cms to 100 cms low spreading  good edges ie small hedge border suitable road median planting hanging weeping growth habit soils well drained fertile addition good organic matter advised plants planted 20 30 cms centers plants stay bloom well around 2 years second year soil preperation not good year plants need replaced new ones planted"
1119,1491,Portulaca grandiflora pink & white,"Office Time Double Pink & White, Purslane",Marathi - Chini Gulab,groundcovers,portulacaceae office time family,Sun growing,"Normal, Can tolerate less",Flowers,yeararound flowering flowers flushes throughout year,green,Less than 50 cms,50 cms to 100 cms,low spreading,,good edges ie small hedge border suitable road median planting hanging weeping growth habit,bed well grown portulacas colourful planted full sunlight flowers open around 9 close evening hence name ideal planting factories offices plants perennial,soils well drained fertile addition good organic matter advised plants planted 20 30 cms centers plants stay bloom well around 2 years second year soil preperation not good year plants need replaced new ones planted,"Portulaca grandiflora pink & white Office Time Double Pink & White, Purslane groundcovers portulacaceae office time family Sun growing Normal, Can tolerate less Flowers yeararound flowering flowers flushes throughout yeargreen Less than 50 cms 50 cms to 100 cms low spreading  good edges ie small hedge border suitable road median planting hanging weeping growth habit soils well drained fertile addition good organic matter advised plants planted 20 30 cms centers plants stay bloom well around 2 years second year soil preperation not good year plants need replaced new ones planted"
1120,1492,Portulaca olracea white,"Office Time Single White, Purslane","Hindi - Khursa, Bengali - Baraloniya, Gujarati - Moti Loni, Kannada - Dooddagooni, Malayalam - Kariecheera, Marathi - Bhuigholi, Punjabi - Lonak, Sanskrit - Brihalloni, Tamil - Karikeerai, Telugu - Peddapayilikura",groundcovers,portulacaceae office time family,Sun growing,"Normal, Can tolerate less",Flowers,yeararound flowering flowers flushes throughout year,green,Less than 50 cms,50 cms to 100 cms,low spreading,,good edges ie small hedge border suitable road median planting hanging weeping growth habit,bed well grown portulacas colourful planted full sunlight flowers open around 9 close evening hence name ideal planting factories offices plants perennial single portulacas longer lived double ones tire require replanting couple years,soils well drained fertile addition good organic matter advised plants planted 20 30 cms centers plants stay bloom well around 2 years second year soil preperation not good year plants need replaced new ones planted,"Portulaca olracea white Office Time Single White, Purslane groundcovers portulacaceae office time family Sun growing Normal, Can tolerate less Flowers yeararound flowering flowers flushes throughout yeargreen Less than 50 cms 50 cms to 100 cms low spreading  good edges ie small hedge border suitable road median planting hanging weeping growth habit soils well drained fertile addition good organic matter advised plants planted 20 30 cms centers plants stay bloom well around 2 years second year soil preperation not good year plants need replaced new ones planted"
1121,1493,Portulaca olracea pink,"Office Time Single Pink, Purslane","Hindi - Khursa, Bengali - Baraloniya, Gujarati - Moti Loni, Kannada - Dooddagooni, Malayalam - Kariecheera, Marathi - Bhuigholi, Punjabi - Lonak, Sanskrit - Brihalloni, Tamil - Karikeerai, Telugu - Peddapayilikura",groundcovers,portulacaceae office time family,Sun growing,"Normal, Can tolerate less",Flowers,yeararound flowering flowers flushes throughout year,green,Less than 50 cms,50 cms to 100 cms,low spreading,,good edges ie small hedge border suitable road median planting hanging weeping growth habit,bed well grown portulacas colourful planted full sunlight flowers open around 9 close evening hence name ideal planting factories offices plants perennial single portulacas longer lived double ones tire require replanting couple years,soils well drained fertile addition good organic matter advised plants planted 20 30 cms centers plants stay bloom well around 2 years second year soil preperation not good year plants need replaced new ones planted,"Portulaca olracea pink Office Time Single Pink, Purslane groundcovers portulacaceae office time family Sun growing Normal, Can tolerate less Flowers yeararound flowering flowers flushes throughout yeargreen Less than 50 cms 50 cms to 100 cms low spreading  good edges ie small hedge border suitable road median planting hanging weeping growth habit soils well drained fertile addition good organic matter advised plants planted 20 30 cms centers plants stay bloom well around 2 years second year soil preperation not good year plants need replaced new ones planted"
1122,1494,Portulaca olracea orange,"Office Time Single  Orange, Purslane","Hindi - Khursa, Bengali - Baraloniya, Gujarati - Moti Loni, Kannada - Dooddagooni, Malayalam - Kariecheera, Marathi - Bhuigholi, Punjabi - Lonak, Sanskrit - Brihalloni, Tamil - Karikeerai, Telugu - Peddapayilikura",groundcovers,portulacaceae office time family,Sun growing,"Normal, Can tolerate less",Flowers,yeararound flowering flowers flushes throughout year,green,Less than 50 cms,50 cms to 100 cms,low spreading,,good edges ie small hedge border suitable road median planting hanging weeping growth habit,bed well grown portulacas colourful planted full sunlight flowers open around 9 close evening hence name ideal planting factories offices plants perennial single portulacas longer lived double ones tire require replanting couple years,soils well drained fertile addition good organic matter advised plants planted 20 30 cms centers plants stay bloom well around 2 years second year soil preperation not good year plants need replaced new ones planted,"Portulaca olracea orange Office Time Single  Orange, Purslane groundcovers portulacaceae office time family Sun growing Normal, Can tolerate less Flowers yeararound flowering flowers flushes throughout yeargreen Less than 50 cms 50 cms to 100 cms low spreading  good edges ie small hedge border suitable road median planting hanging weeping growth habit soils well drained fertile addition good organic matter advised plants planted 20 30 cms centers plants stay bloom well around 2 years second year soil preperation not good year plants need replaced new ones planted"
1123,1495,Monstera deliciosa borsigiana,Medium Leaf Swiss Cheese Plant,Marathi - Monstera,indoor plants climbers creepers vines fruit plants,araceae alocasia family,"Semi shade, Shade growing","Normal, Can tolerate more",Foliage,yeararound flowering flowers flushes throughout year,green,6 to 8 meters,,climbing growing support,,good cut foliage grow trellis chain link fencing hanging weeping growth habit,native tropical america climbs adventitious stem roots small simple entire leaves juvenile growth phases large fenestrate cuts holesleaves mature native forests amazon south america stout foliage climber medium large leaves around 80 cms across holes leaves probably designed allow excess rain water go mature plant produces large conelike flower strong pineapple aroma one attractive popular house plants dark green leaves deeply cut perforated holes flower spike forms large edible fruit fruit eaten natives amazon forest fruit requires special handling not try eat,plants like grow large containers relatively small medium leaves variety trained moss sticks compost well drained stagnant water even days may cause rotting require good strong support climb tolerate part time sun areas high humidity grown full sunlight ideally trained onto large tree trunks cover effectively give tropical look warm temperatures high humidity ample water mantra grow plants well,"Monstera deliciosa borsigiana Medium Leaf Swiss Cheese Plant indoor plants climbers creepers vines fruit plants araceae alocasia family Semi shade, Shade growing Normal, Can tolerate more Foliage yeararound flowering flowers flushes throughout yeargreen 6 to 8 meters  climbing growing support  good cut foliage grow trellis chain link fencing hanging weeping growth habit plants like grow large containers relatively small medium leaves variety trained moss sticks compost well drained stagnant water even days may cause rotting require good strong support climb tolerate part time sun areas high humidity grown full sunlight ideally trained onto large tree trunks cover effectively give tropical look warm temperatures high humidity ample water mantra grow plants well"
1124,1500,Alocasia macrorrhiza variegata,"Elephant Ears Variegated, Giant Alocasia",Marathi - Aloo Variegated,indoor plants water aquatic plants shrubs,araceae alocasia family,"Semi shade, Shade growing","Normal, Can tolerate more",Foliage,flowers inconspicuous,variegated green white,50 cms to 100 cms,50 cms to 100 cms,spreading upright erect,,indigenous native india good cut foliage good seaside grows best humid warm regions,variegated form giant elephant ears large sagittate leaves variegated light green blotched white well grown plant shows well one reason not well people not plant right location near water body protected high wind perfect,prefers moist shady situation grow well porous soil rich organic matter grow best soil mixes 50 percent organic matter high relative humidity required keep plants looking attractive,"Alocasia macrorrhiza variegata Elephant Ears Variegated, Giant Alocasia indoor plants water aquatic plants shrubs araceae alocasia family Semi shade, Shade growing Normal, Can tolerate more Foliage flowers inconspicuousvariegated green white 50 cms to 100 cms 50 cms to 100 cms spreading upright erect  indigenous native india good cut foliage good seaside grows best humid warm regions prefers moist shady situation grow well porous soil rich organic matter grow best soil mixes 50 percent organic matter high relative humidity required keep plants looking attractive"
1125,1501,Pelargonium hortorum,"Geranium Hybrids, Bedding Geraniom, Garden Geranium, Zonal Geranium","Marathi - Geranium, Hindi - Geranium",flowering pot plants groundcovers shrubs,geraniaceae geranium family,"Sun growing, Semi shade",Normal,Flowers,yeararound flowering flowers flushes throughout year,variegated green red,50 cms to 100 cms,50 cms to 100 cms,spreading upright erect,,fragrant flowers leaves good hedges borders good edges ie small hedge border attracts bees animals not eat insect mosquito repellent salt salinity tolerant grows best cooler regions,geraniums classified pelargoniums native south africa even though classified pelargonium commonly referred geraniums also known zonal geraniums due dark pattern leaves common species grown today pelargonium hortorum grown clusters brilliantly colored flowers one popular rewarding flowering plants plants succulent leaves stem may small shrub 60 cms leaves varieties circular 2 3 inch diameter leaves 3 5 inch across dark green zonal varieties circular dark band leaves use beds borders good use window boxes especially milder climates,geraniums grow best full sunlight also planted partially shaded areas not absolute shade geraniums grow best mild cooler climates more light get more growth more flowers planted large pots ground beds geraniums one popular plants window boxes growing media soil used geraniums well drained ample nutrients newer varieties geraniums flower lot therefore need lot food supply geraniums grown today two basic types ones propagated cuttings ones grown hybrid seed plants grown cuttings india old varieties grow taller flower less plants grown seed hybrid seed flower much more tend stay dwarf good color range also available amongst seed grown types drawback hybrid seeds quite expensive plants obtained far superior definitely value money regular feeding watersoluble fertilizers required fertilizers recommended flowering plants suitable old dry leaves cleaned time time remove old faded flower bunches geraniums aromatic compound leaves stems due pests avoid fungal problems especially humidity temperatures high one secret growing good geraniums cleaning regularly old flower blooms bloomed 80 removed also old dry leaves taken done new flowers come quicker,"Pelargonium hortorum Geranium Hybrids, Bedding Geraniom, Garden Geranium, Zonal Geranium flowering pot plants groundcovers shrubs geraniaceae geranium family Sun growing, Semi shade Normal Flowers yeararound flowering flowers flushes throughout yearvariegated green red 50 cms to 100 cms 50 cms to 100 cms spreading upright erect  fragrant flowers leaves good hedges borders good edges ie small hedge border attracts bees animals not eat insect mosquito repellent salt salinity tolerant grows best cooler regions geraniums grow best full sunlight also planted partially shaded areas not absolute shade geraniums grow best mild cooler climates more light get more growth more flowers planted large pots ground beds geraniums one popular plants window boxes growing media soil used geraniums well drained ample nutrients newer varieties geraniums flower lot therefore need lot food supply geraniums grown today two basic types ones propagated cuttings ones grown hybrid seed plants grown cuttings india old varieties grow taller flower less plants grown seed hybrid seed flower much more tend stay dwarf good color range also available amongst seed grown types drawback hybrid seeds quite expensive plants obtained far superior definitely value money regular feeding watersoluble fertilizers required fertilizers recommended flowering plants suitable old dry leaves cleaned time time remove old faded flower bunches geraniums aromatic compound leaves stems due pests avoid fungal problems especially humidity temperatures high one secret growing good geraniums cleaning regularly old flower blooms bloomed 80 removed also old dry leaves taken done new flowers come quicker"
